Input,Target,No.,Expression
"No appetite I went 3 days without eating and didn't realise until my partner was ramming a sandwich down me, now just a smaller appetite and still forget to eat. Blurred vision, diarrhoea, nausea, heart burn, hyper/wired can stay awake for 48hrs so have to take a sedative to sleep, insomnia, brain zaps/waves like vertigo but whilst sitting, speech problems and block, memory loss, suicidal thoughts with one attempt, dry mouth, involuntary movements like jerking. Reading through this yes the side effects have been awful and pretty persistent but I'll now explain below...","No appetite I went 3 days without eating and didn't realise until my partner was ramming a sandwich down me, now just a smaller appetite and still forget to eat. Blurred vision, diarrhoea, nausea, heart burn, hyper/wired can stay awake for 48hrs so have to take a sedative to sleep, insomnia, brain zaps/ brain waves like vertigo but whilst sitting, speech problems and speech block, memory loss, suicidal thoughts with one attempt, dry mouth, involuntary movements like jerking. Reading through this yes the side effects have been awful and pretty persistent but I'll now explain below...",2,"brain zaps/waves;
speech problems and block"
"I love my zoloft. I am only on 50mg but my insomnia is gone, my anxiety is under control, and I get depressed less often.  Initially had some sexual problems, but remedied that by taking it at night before bed (and after sexual activity) so that the level of the drug would be at its lowest point in the evenings. I may be seeing some very slight weight gain but I can't say for sure that it is the zoloft. I had lots of trouble at first. Anxiety increased tenfold, had panic attcks, disconnected/spaced out feeling.  But it all went away eventually and I started feeling great.","I love my zoloft. I am only on 50mg but my insomnia is gone, my anxiety is under control, and I get depressed less often.  Initially had some sexual problems, but remedied that by taking it at night before bed (and after sexual activity) so that the level of the drug would be at its lowest point in the evenings. I may be seeing some very slight weight gain but I can't say for sure that it is the zoloft. I had lots of trouble at first. Anxiety increased tenfold, had panic attcks, disconnected feeling / spaced out feeling.  But it all went away eventually and I started feeling great.",1,disconnected/spaced out feeling
"The drug caused me to have NO sex drive and emotions.  When I should have been crying, I had no desire.  The side effects of coming off this drug are hell.  Obviously I see this is a very addictive drug as far as withdrawl symptoms.  Even tapering the drug, I have had SEVERE dizzines, fatigue and nausea.  No one can prepare you the side effects when you decide to stop taking it. The Effexor did work for my depression while taking Lamictal.  I felt great, but needed to try another anti-depressent to help with my sex drive. The Effexor did work for my depression while taking Lamictal.  I felt great, but needed to try another anti-depressent to help with my sex drive.","The drug caused me to have NO sex drive and NO emotions.  When I should have been crying, I had no desire.  The side effects of coming off this drug are hell.  Obviously I see this is a very addictive drug as far as withdrawl symptoms.  Even tapering the drug, I have had SEVERE dizzines, SEVERE fatigue and SEVERE nausea.  No one can prepare you the side effects when you decide to stop taking it. The Effexor did work for my depression while taking Lamictal.  I felt great, but needed to try another anti-depressent to help with my sex drive. The Effexor did work for my depression while taking Lamictal.  I felt great, but needed to try another anti-depressent to help with my sex drive.",2,"NO sex drive and emotions;
SEVERE dizzines, fatigue and nausea"
"Day One - spacey, Day Two - nauseous, tight neck and head muscles, internal hot flushing accompanied by weakness and trembling, Day Three - nauseous, increased heart rate, warmer than usual, increased anxiety, Day Four - nauseous, digestive upsets, tight neck and jaw, prickling & tingling on hand and foot, flushing, increased anxiety, experiencing zaps when falling asleep, woke in the middle of the night very hot, anxious, prickly, got scared, didn't take the med on Day 5, now decided I will try to tough it out, Day 6 - took it an hour ago, so far just tight neck and head muscles","Day One - spacey, Day Two - nauseous, tight neck muscles and tight head muscles, internal hot flushing accompanied by weakness and trembling, Day Three - nauseous, increased heart rate, warmer than usual, increased anxiety, Day Four - nauseous, digestive upsets, tight neck and tight jaw, prickling on hand & tingling on hand and prickling on foot & tingling on foot, flushing, increased anxiety, experiencing zaps when falling asleep, woke in the middle of the night very hot, anxious, prickly, got scared, didn't take the med on Day 5, now decided I will try to tough it out, Day 6 - took it an hour ago, so far just tight neck and head muscles",3,"tight neck and head muscles;
tight neck and jaw;
prickling & tingling on hand and foot"
"I started out taking Xanax to battle my insominia, but it didn't do much. After other patients' ratings and experiences, I learned about Trazadone, I started to sleep, complete with vivid detailed dreams. At dose 75, I experience moments of bliss, and extreme colors. It built up great courage, and reinstalled a strong sense of self esteem. Experienced extreme carb craving, and bizarre urge to consume alcohal all the time.But after 3 weeks, it just stopped working. sweating,dizziness, severe dry lips and mouth (coughing all night,can't talk without choking),itchy scalp and face, insomnia, constipation, hard stool, gas, racing thoughts, teeth grinding, agitation, severe loss of short term memory, moments of enhanced colors,tired all the time, blurry vision, extreme sensitivity to light and sound, insomnia and drunk feeling caused weak immune system, brief speedy moments periodically followed by extreme fatigue, one good day followed by three days of needing to sleep 15 hours, light headedness, loss of balance, and sex drive, void of emotion (And I am a singer songwriter, painter.)Cannot currently sing due to my arid dry mouth and throat","I started out taking Xanax to battle my insominia, but it didn't do much. After other patients' ratings and experiences, I learned about Trazadone, I started to sleep, complete with vivid detailed dreams. At dose 75, I experience moments of bliss, and extreme colors. It built up great courage, and reinstalled a strong sense of self esteem. Experienced extreme carb craving, and bizarre urge to consume alcohal all the time.But after 3 weeks, it just stopped working. sweating,dizziness, severe dry lips and severe dry mouth (coughing all night,can't talk without choking),itchy scalp and itchy face, insomnia, constipation, hard stool, gas, racing thoughts, teeth grinding, agitation, severe loss of short term memory, moments of enhanced colors,tired all the time, blurry vision, extreme sensitivity to light and sensitivity to sound, insomnia and drunk feeling caused weak immune system, brief speedy moments periodically followed by extreme fatigue, one good day followed by three days of needing to sleep 15 hours, light headedness, loss of balance and loss of sex drive, void of emotion (And I am a singer songwriter, painter.)Cannot currently sing due to my arid dry mouth and dry throat",2,"severe dry lips and mouth;
sensitivity to light and sound"
"I've been on Effexor for about three years now, and I have to say that along with therapy, it really saved my life. However, the side effects are awful, but to me it's worth it because after trying Lexapro, Wellbutrin, and Zoloft, this is the only thing that makes me feel better. I have to take Adderall XR in combination with the Effexor just to keep me awake during the day because if i don't, i absolutely can't function; I will literally just sleep all the time, to the point where it truly can disrupt my life at times. I had never experienced a fatigue like that before, and it can be very dibilitating. I have absolutely NO sex drive, but that didn't happen until about a year ago. I wake up a lot in the morning with my jaw feeling tired and aching, and it never even occured to me that it may have been because of the Effexor (until i came upon this site!). The sweating is really bad, but i've found a great solution - aerosol deoderant! I've tried going off of Effexor before...it's hell,","I've been on Effexor for about three years now, and I have to say that along with therapy, it really saved my life. However, the side effects are awful, but to me it's worth it because after trying Lexapro, Wellbutrin, and Zoloft, this is the only thing that makes me feel better. I have to take Adderall XR in combination with the Effexor just to keep me awake during the day because if i don't, i absolutely can't function; I will literally just sleep all the time, to the point where it truly can disrupt my life at times. I had never experienced a fatigue like that before, and it can be very dibilitating. I have absolutely NO sex drive, but that didn't happen until about a year ago. I wake up a lot in the morning with my jaw feeling tired and jaw feeling aching, and it never even occured to me that it may have been because of the Effexor (until i came upon this site!). The sweating is really bad, but i've found a great solution - aerosol deoderant! I've tried going off of Effexor before...it's hell,",1,jaw feeling tired and aching
I started on on a low dose and gradually increased to 150 mg.  I feel so much better taking this drug and even my friends and family have noticed a dramatic change in my overall well-being.   My Dr. started me on fluoxetine (Prozac- 10 mg) which I take in addition to Effexor.  Maybe for me it is the combination of the two but I have not experienced any of the negative side effects others have described.  The ones I did experience certainly wouldn't make me stop taking it.  Everyone is so unique and I'm sure this drug effects us all differently but for me it works extremely well and I plan to continue on it. Insomnia for the first few days.  Shakiness and numbness in fingers which went away after the first few days.  Night sweats which I still get occasionally as well as very vivid dreams.,I started on on a low dose and gradually increased to 150 mg.  I feel so much better taking this drug and even my friends and family have noticed a dramatic change in my overall well-being.   My Dr. started me on fluoxetine (Prozac- 10 mg) which I take in addition to Effexor.  Maybe for me it is the combination of the two but I have not experienced any of the negative side effects others have described.  The ones I did experience certainly wouldn't make me stop taking it.  Everyone is so unique and I'm sure this drug effects us all differently but for me it works extremely well and I plan to continue on it. Insomnia for the first few days.  Shakiness in fingers and numbness in fingers which went away after the first few days.  Night sweats which I still get occasionally as well as very vivid dreams.,1,Shakiness and numbness in fingers
"Had/have the following prior/concurrent therapy: 
Systemic corticosteroids (oral or injectable) within 7 days of first dose of 852A (topical or inhaled steroids are allowed) 
Investigational drugs/agents within 14 days of first dose of 852A 
Immunosuppressive therapy, including cytotoxic agents within 14 days of first dose of 852A (nitrosoureas within 30 days of first dose) 
Drugs known to induce QT interval prolongation and/or induce Torsades de pointes unless best available drug required to treat life-threatening conditions 
Radiotherapy within 3 weeks of the first dose of 852A 
Hematopoietic cell transplantation within 4 weeks of first dose of 852A 
Evidence of active infection within 3 days of first dose of 852A 
Active fungal infection or pulmonary infiltrates (prior treated disease stable for 2 weeks is allowable) 
Cardiac ischemia/arrhythmias or congestive heart failure uncontrolled by medication 
History of, or clinical evidence of, a condition which, in the opinion of the investigator, could confound the results of the study or put the subject at undue risk 
Uncontrolled intercurrent or chronic illness 
Active autoimmune disease requiring immunosuppressive therapy within 30 days 
Active coagulation disorder not controlled with medication 
Concurrent malignancy (if in remission, at least 5 years disease free) except for localized (in-situ) disease, basal carcinomas and cutaneous squamous cell carcinomas that have been adequately treated 
Any history of brain metastases or any other active central nervous system (CNS) disease","Had/have the following prior/concurrent therapy: 
Systemic corticosteroids (oral or Systemic corticosteroids injectable) within 7 days of first dose of 852A (topical steroids or inhaled steroids are allowed) 
Investigational drugs/agents within 14 days of first dose of 852A 
Immunosuppressive therapy, including cytotoxic agents within 14 days of first dose of 852A (nitrosoureas within 30 days of first dose) 
Drugs known to induce QT interval prolongation and/or induce Torsades de pointes unless best available drug required to treat life-threatening conditions 
Radiotherapy within 3 weeks of the first dose of 852A 
Hematopoietic cell transplantation within 4 weeks of first dose of 852A 
Evidence of active infection within 3 days of first dose of 852A 
Active fungal infection or pulmonary infiltrates (prior treated disease stable for 2 weeks is allowable) 
Cardiac ischemia/ Cardiac arrhythmias or congestive heart failure uncontrolled by medication 
History of, or clinical evidence of, a condition which, in the opinion of the investigator, could confound the results of the study or put the subject at undue risk 
Uncontrolled illness intercurrent illness or chronic illness 
Active autoimmune disease requiring immunosuppressive therapy within 30 days 
Active coagulation disorder not controlled with medication 
Concurrent malignancy (if in remission, at least 5 years disease free) except for localized (in-situ) disease, basal carcinomas and cutaneous squamous cell carcinomas that have been adequately treated 
Any history of brain metastases or any other active central nervous system (CNS) disease",3,"topical or inhaled steroids;
Cardiac ischemia/arrhythmias;
Uncontrolled intercurrent or chronic illness"
"Evidence of gastrointestinal bleeding 
The patient has bony lesions as the sole evaluable disease. 
Past or concurrent history of neoplasm other than stomach cancer, except for curatively treated non-melanoma skin cancer or in situ carcinoma of the cervix uteri 
Pregnant or lactating women, women of childbearing potential not employing adequate contraception 
Other serious illness or medical conditions 
Unstable cardiac disease despite treatment, myocardial infarction within 6 months prior to study entry 
History of significant neurologic or psychiatric disorders including dementia or seizures 
Active uncontrolled infection 
Other serious underlying medical conditions which could impair the ability of the patient to participate in the study 
Concomitant administration of any other experimental drug under investigation, or concomitant chemotherapy, hormonal therapy, or immunotherapy 
concomitant drug medication; The following drugs cause drug interaction with S-1. 
i. Warfarin, phenprocoumon: increase bleeding tendency ii. Increase blood concentration of phenytoin iii. sorivudine: inhibit DPD -> increase toxicity according to fluoropyrimidine iv. allopurinol : decrease activity of S-1","Evidence of gastrointestinal bleeding 
The patient has bony lesions as the sole evaluable disease. 
Past history of neoplasm or concurrent history of neoplasm other than stomach cancer, except for curatively treated non-melanoma skin cancer or in situ carcinoma of the cervix uteri 
Pregnant women or lactating women, women of childbearing potential not employing adequate contraception 
Other serious illness or medical conditions 
Unstable cardiac disease despite treatment, myocardial infarction within 6 months prior to study entry 
History of significant neurologic disorders or psychiatric disorders including dementia or seizures 
Active uncontrolled infection 
Other serious underlying medical conditions which could impair the ability of the patient to participate in the study 
Concomitant administration of any other experimental drug under investigation, or concomitant chemotherapy, hormonal therapy, or immunotherapy 
concomitant drug medication; The following drugs cause drug interaction with S-1. 
i. Warfarin, phenprocoumon: increase bleeding tendency ii. Increase blood concentration of phenytoin iii. sorivudine: inhibit DPD -> increase toxicity according to fluoropyrimidine iv. allopurinol : decrease activity of S-1",2,"Past or concurrent history of neoplasm;
Pregnant or lactating women;
neurologic or psychiatric disorders;"
"Use of any investigational or non-registered product (drug or vaccine) other than the study vaccine(s) within 30 days preceding the first dose of study vaccine, or planned use during the study period 
Chronic administration (defined as more than 14 days) of immunosuppressants or other immune-modifying drugs within six months prior to the first vaccine dose. 
Planned administration/ administration of a vaccine not foreseen by the study protocol during the period starting one month before each dose of vaccine(s) and ending 7 days after dose 1 and dose 2 or 1 month after dose 3. 
Previous vaccination against diphtheria, tetanus, pertussis, polio, hepatitis B, Haemophilus influenzae type b, and/or S. pneumoniae with the exception of vaccines where the first dose can be given within the first two weeks of life according to the national recommendations 
History of or intercurrent diphtheria, tetanus, pertussis, hepatitis B, polio, and Haemophilus influenzae type b diseases. 
History of allergic disease or reactions likely to be exacerbated by any component of the vaccines. 
History of seizures (this criterion does not apply to subjects who have had a single, uncomplicated febrile convulsion in the past) or neurological disease. 
Acute disease at the time of enrolment 
Any confirmed or suspected immunosuppressive or immunodeficient condition based on medical history and physical 
A family history of congenital or hereditary immunodeficiency. 
Major congenital defects or serious chronic illness. 
Administration of immunoglobulins and/or any blood products since birth or planned administration during the active phase of the study.","Use of any investigational or non-registered product (drug or vaccine) other than the study vaccine(s) within 30 days preceding the first dose of study vaccine, or planned use during the study period 
Chronic administration (defined as more than 14 days) of immunosuppressants or other immune-modifying drugs within six months prior to the first vaccine dose. 
Planned administration/ administration of a vaccine not foreseen by the study protocol during the period starting one month before each dose of vaccine(s) and ending 7 days after dose 1 and dose 2 or 1 month after dose 3. 
Previous vaccination against diphtheria, tetanus, pertussis, polio, hepatitis B, Haemophilus influenzae type b, and/or influenzae type S. pneumoniae with the exception of vaccines where the first dose can be given within the first two weeks of life according to the national recommendations 
History of or intercurrent diphtheria diseases, tetanus diseases, pertussis diseases, hepatitis B diseases, polio diseases, and Haemophilus influenzae type b diseases. 
History of allergic disease or reactions likely to be exacerbated by any component of the vaccines. 
History of seizures (this criterion does not apply to subjects who have had a single, uncomplicated febrile convulsion in the past) or neurological disease. 
Acute disease at the time of enrolment 
Any confirmed or suspected immunosuppressive condition or immunodeficient condition based on medical history and physical 
A family history of congenital immunodeficiency or hereditary immunodeficiency. 
Major congenital defects or serious chronic illness. 
Administration of immunoglobulins and/or any blood products since birth or planned administration during the active phase of the study.",2,"influenzae type b, and/or S; 
diphtheria, tetanus, pertussis, hepatitis B, polio, and Haemophilus influenzae type b diseases."
"Planned administration of a vaccine not foreseen by the study protocol up to 30 days after the second vaccination with H5N1 vaccine. 
Chronic administration (defined as more than 14 days) of immunosuppressants or other immune-modifying drugs within six months prior to the first administration of the study vaccine. 
Any confirmed or suspected immunosuppressive or immunodeficient condition, based on medical history and physical examination (no laboratory testing required). 
History of chronic alcohol consumption and/or drug abuse. 
History of hypersensitivity to vaccines. 
History of allergic disease or reactions likely to be exacerbated by any component of the vaccine (including egg and thiomersal allergy). 
Acute clinically significant pulmonary, cardiovascular, hepatic or renal functional abnormality, as determined by physical examination or laboratory screening tests. 
Acute disease at the time of enrolment. 
Serious chronic disease including any medically significant chronic pulmonary, cardiovascular, renal, neurological, psychiatric or metabolic disorder, as determined by medical history and physical examination. 
Administration of immunoglobulins and/or any blood products within the three months preceding the first vaccination or during the study. 
Use of any investigational or non-registered product (drug or vaccine) other than the study vaccine(s) within 30 days prior to the first vaccination, or planned use during the study period. 
Any condition which, in the opinion of the investigator, prevents the subject from participation in the study.","Planned administration of a vaccine not foreseen by the study protocol up to 30 days after the second vaccination with H5N1 vaccine. 
Chronic administration (defined as more than 14 days) of immunosuppressants or other immune-modifying drugs within six months prior to the first administration of the study vaccine. 
Any confirmed or suspected immunosuppressive condition or immunodeficient condition, based on medical history and physical examination (no laboratory testing required). 
History of chronic alcohol consumption and/or drug abuse. 
History of hypersensitivity to vaccines. 
History of allergic disease or reactions likely to be exacerbated by any component of the vaccine (including egg and thiomersal allergy). 
Acute clinically significant pulmonary abnormality, cardiovascular abnormality, hepatic abnormality or renal functional abnormality, as determined by physical examination or laboratory screening tests. 
Acute disease at the time of enrolment. 
Serious chronic disease including any medically significant chronic pulmonary disorder, cardiovascular disorder, renal disorder, neurological disorder, psychiatric disorder or metabolic disorder, as determined by medical history and physical examination. 
Administration of immunoglobulins and/or Administration of any blood products within the three months preceding the first vaccination or during the study. 
Use of any investigational or non-registered product (drug or vaccine) other than the study vaccine(s) within 30 days prior to the first vaccination, or planned use during the study period. 
Any condition which, in the opinion of the investigator, prevents the subject from participation in the study.",3,"immunosuppressive or immunodeficient condition;
pulmonary, cardiovascular, renal, neurological, psychiatric or metabolic disorder;
Administration of immunoglobulins and/or any blood products"
"Subjects not able to give informed consent 
Left Bundle Branch Block 
Thrombolytic therapy within 24 hours before randomization 
Oral anticoagulation with International Normalized Ratio (INR) > 2 
Known platelets < 100.000/µl or known hemorrhagic diathesis 
Stroke or Transient Ischemic Attack (TIA) within the past 6 months or any permanent residual neurological defect 
Evidence of an active gastrointestinal or urogenital bleeding 
Major surgery within 6 weeks 
History of allergic reaction to abciximab or eptifibatide or any component used in the study (including contrast media) 
Known severe renal (creatinine clearance <30ml/min) or hepatic insufficiency as well as Alanine transaminase (ALT)/aspartate transaminase (AST) elevations = 3xUpper limit normal (ULN); isolated AST-elevation is not considered an exclusion criteria from study participation 
Severe concomitant disease with life expectation < 1 year 
Subject has participated in any study using an investigational drug or device within 30 days or within 5 half-lives of the investigational drug (whichever is longer) of entry into this study. 
Subjects who will be inaccessible due to geographic or social factors during treatment or follow-up 
In France, a subject is neither affiliated with nor a beneficiary of a social security category.","Subjects not able to give informed consent 
Left Bundle Branch Block 
Thrombolytic therapy within 24 hours before randomization 
Oral anticoagulation with International Normalized Ratio (INR) > 2 
Known platelets < 100.000/µl or known hemorrhagic diathesis 
Stroke or Transient Ischemic Attack (TIA) within the past 6 months or any permanent residual neurological defect 
Evidence of an active gastrointestinal bleeding or active urogenital bleeding 
Major surgery within 6 weeks 
History of allergic reaction to abciximab or allergic reaction to eptifibatide or any component used in the study (including contrast media) 
Known severe renal insufficiency(creatinine clearance <30ml/min) or hepatic insufficiency as well as Alanine transaminase (ALT) elevations/aspartate transaminase (AST) elevations = 3xUpper limit normal (ULN); isolated AST-elevation is not considered an exclusion criteria from study participation 
Severe concomitant disease with life expectation < 1 year 
Subject has participated in any study using an investigational drug or device within 30 days or within 5 half-lives of the investigational drug (whichever is longer) of entry into this study. 
Subjects who will be inaccessible due to geographic or social factors during treatment or follow-up 
In France, a subject is neither affiliated with nor a beneficiary of a social security category.",2,"gastrointestinal or urogenital bleeding; 
Alanine transaminase (ALT)/aspartate transaminase (AST) elevations"
"Male or female subjects, aged >=40 years. Females must be of Non Child Bearing Potential. The definition of Non Child Bearing Potential is as following: Females, regardless of their age, with functioning ovaries and who have a current documented tubal ligation or hysterectomy, or females who are post-menopausal. 
Have diagnosed COPD stage III or IV according to GOLD criteria: a baseline post-bronchodilator Forced Expiratory Volume, measured at 1 second (FEV1) <50% of predicted normal and a baseline post- bronchodilator FEV1/Inspiratory Vital Capacity (IVC) ratio <70%. 
Have experienced at least 2 moderate or severe COPD exacerbations leading to medical consultation (requiring oral corticosteroids or increasing dosage of oral corticosteroids and/or antibiotics or hospitalization) within the 12 months preceding Visit 1. 
Have stable COPD medication within 4 weeks prior to Visit 1 (no new medication added and no dosage changes in medication). 
Current or ex-smokers with a smoking history of at least 10 pack years (number of pack years = [number of cigarettes per day / 20] x number of years smoked, e.g., 20 cigarettes per day for 10 years, or 10 cigarettes per day for 20 years). 
Are currently managed at home (outpatients), are ambulatory and able to travel to the clinic. Subjects can be treated with all relevant COPD medication. This includes vaccines, inhaled short-acting beta-2-agonists as needed, short-acting or long-acting anticholinergics (tiotropium), systemic beta-2-agonists, theophylline, mucolytics, antioxidants, beta-1-agonists (for cardiovascular indication), non-invasive ventilation, long term oxygen therapy and can have Cor Pulmonale. 
A signed and dated written informed consent is obtained prior to participation. 
Able to comply with the requirements of the protocol and be available for study visits over 52 weeks.","Male or female subjects, aged >=40 years. Females must be of Non Child Bearing Potential. The definition of Non Child Bearing Potential is as following: Females, regardless of their age, with functioning ovaries and who have a current documented tubal ligation or hysterectomy, or females who are post-menopausal. 
Have diagnosed COPD stage III or COPD stage IV according to GOLD criteria: a baseline post-bronchodilator Forced Expiratory Volume, measured at 1 second (FEV1) <50% of predicted normal and a baseline post- bronchodilator FEV1/Inspiratory Vital Capacity (IVC) ratio <70%. 
Have experienced at least 2 moderate or severe COPD exacerbations leading to medical consultation (requiring oral corticosteroids or increasing dosage of oral corticosteroids and/or antibiotics or hospitalization) within the 12 months preceding Visit 1. 
Have stable COPD medication within 4 weeks prior to Visit 1 (no new medication added and no dosage changes in medication). 
Current smokers or ex-smokers with a smoking history of at least 10 pack years (number of pack years = [number of cigarettes per day / 20] x number of years smoked, e.g., 20 cigarettes per day for 10 years, or 10 cigarettes per day for 20 years). 
Are currently managed at home (outpatients), are ambulatory and able to travel to the clinic. Subjects can be treated with all relevant COPD medication. This includes vaccines, inhaled short-acting beta-2-agonists as needed, short-acting anticholinergics or long-acting anticholinergics (tiotropium), systemic beta-2-agonists, theophylline, mucolytics, antioxidants, beta-1-agonists (for cardiovascular indication), non-invasive ventilation, long term oxygen therapy and can have Cor Pulmonale. 
A signed and dated written informed consent is obtained prior to participation. 
Able to comply with the requirements of the protocol and be available for study visits over 52 weeks.",2,"COPD stage III or IV;
short-acting or long-acting anticholinergics"
"Must have pathologically confirmed invasive adenocarcinoma or ductal carcinoma in situ of the breast. 
Patients must have undergone segmental mastectomy (i.e., lumpectomy). 
Patients must not have received prior radiation therapy to the breast. 
Patients must not have active local or regional disease prior to registration. 
Patients must not be pregnant because of the potential for fetal harm as a result of radiation treatment. Women of child-bearing age will be given a serum pregnancy test prior to study entry to ensure they are not pregnant. They will also be counseled on the importance of avoiding pregnancy and hormonal contraception while undergoing radiation therapy. 
Patients must not have a serious medical or psychiatric illness which prevents informed consent or compliance with treatment. 
All patients must be informed of the investigational nature of this study and give written informed consent in accordance with institutional and federal guidelines. ","Must have pathologically confirmed invasive adenocarcinoma or ductal carcinoma in situ of the breast. 
Patients must have undergone segmental mastectomy (i.e., lumpectomy). 
Patients must not have received prior radiation therapy to the breast. 
Patients must not have active local disease or regional disease prior to registration. 
Patients must not be pregnant because of the potential for fetal harm as a result of radiation treatment. Women of child-bearing age will be given a serum pregnancy test prior to study entry to ensure they are not pregnant. They will also be counseled on the importance of avoiding pregnancy and hormonal contraception while undergoing radiation therapy. 
Patients must not have a serious medical illness or serious psychiatric illness which prevents informed consent or compliance with treatment. 
All patients must be informed of the investigational nature of this study and give written informed consent in accordance with institutional and federal guidelines. ",2,"local or regional disease;
serious medical or psychiatric illness;"
"1. Currently pregnant or last pregnancy outcome within 3 months prior to enrolment 
2. Currently breast-feeding 
3. Participated in any other research study within 60 days prior to screening 
4. Previously participated in any HIV vaccine study 
5. Untreated urogenital infections (either symptomatic or asymptomatic) within 2 weeks prior to enrollment 
6. Presence of abnormal physical finding on the vulva, vaginal walls or cervix during pelvic/speculum examination and/or colposcopy 
7. History of significant urogenital or uterine prolapse, undiagnosed vaginal bleeding, urethral obstruction 
8. Pap smear result at screening that requires cryotherapy, biopsy, treatment (other than for infection), or further evaluation 
9. Any Grade 2, 3 or 4 baseline haematology, chemistry or urinalysis laboratory abnormality according to the DAIDS Table for Grading Adverse Experiences 
10. Unexplained, undiagnosed abnormal bleeding per vagina, discharge per vagina during or following vaginal intercourse, or gynaecologic surgery within 90 days prior to enrollment 
11. Any history of anaphylaxis or severe allergy resulting in angioedema; or a history of sensitivity/allergy to latex 
12. Any serious acute, chronic or progressive disease 
13. Any condition(s) that, in the opinion of the investigator, might interfere with adherence to study requirements or evaluation of the study objectives","1. Currently pregnant or last pregnancy outcome within 3 months prior to enrolment 
2. Currently breast-feeding 
3. Participated in any other research study within 60 days prior to screening 
4. Previously participated in any HIV vaccine study 
5. Untreated urogenital infections (either symptomatic or asymptomatic) within 2 weeks prior to enrollment 
6. Presence of abnormal physical finding on the vulva, abnormal physical finding on the vaginal walls or abnormal physical finding on the cervix during pelvic examination/speculum examination and/or pelvic colposcopy, speculum colposcopy
7. History of significant urogenital prolapse or uterine prolapse, undiagnosed vaginal bleeding, urethral obstruction 
8. Pap smear result at screening that requires cryotherapy, biopsy, treatment (other than for infection), or further evaluation 
9. Any Grade 2 baseline haematology, 3 baseline haematology or 4 baseline haematology, chemistry or urinalysis laboratory abnormality according to the DAIDS Table for Grading Adverse Experiences 
10. Unexplained, undiagnosed abnormal bleeding per vagina, abnormal discharge per vagina during or following vaginal intercourse, or gynaecologic surgery within 90 days prior to enrollment 
11. Any history of anaphylaxis or severe allergy resulting in angioedema; or a history of sensitivity to latex/allergy to latex 
12. Any serious acute, chronic disease or progressive disease 
13. Any condition(s) that, in the opinion of the investigator, might interfere with adherence to study requirements or evaluation of the study objectives",5,"abnormal physical finding on the vulva, vaginal walls or cervix; 
pelvic/speculum examination and/or colposcopy ;
urogenital or uterine prolapse;
abnormal bleeding per vagina, discharge per vagina;
chronic or progressive disease ;

"
"1. Women 18 to 40 years of age inclusive who can give written informed consent 
2. Available for all visits and consent to follow all procedures scheduled for the study 
3. Agree to daily application of gel and monitoring as per Daily Monitored Adherence (DMA) method 
4. Healthy and self-reported sexually active 
5. HIV-negative as determined by a HIV rapid test at time of enrollment 
6. On a stable form of contraception and willing to continue on this stable method of contraception, OR, Have undergone surgical sterilisation at least 3 months prior to enrollment 
7. In the absence of the use of exogenous hormone(s), have a self-reported regular menstrual cycle defined as having a minimum of 21 days and a maximum of 36 days between menses 
8. Upon pelvic/speculum examination and colposcopy at the time of enrollment, the cervix and vagina appear normal as determined by the investigator 
9. Asymptomatic for genital and vaginal infections at the time of enrollment 
10. Willing to refrain from use of vaginal products or objects within 14 days prior to enrollment and for the duration of the study 
11. Willing to answer acceptability and adherence questionnaires throughout the study 
12. Willing to refrain from participation in any other research study for the duration of this study 
13. Willing to provide adequate locator information for study retention purposes and be reachable per local standard procedures","1. Women 18 to 40 years of age inclusive who can give written informed consent 
2. Available for all visits and consent to follow all procedures scheduled for the study 
3. Agree to daily application of gel and monitoring as per Daily Monitored Adherence (DMA) method 
4. Healthy and self-reported sexually active 
5. HIV-negative as determined by a HIV rapid test at time of enrollment 
6. On a stable form of contraception and willing to continue on this stable method of contraception, OR, Have undergone surgical sterilisation at least 3 months prior to enrollment 
7. In the absence of the use of exogenous hormone(s), have a self-reported regular menstrual cycle defined as having a minimum of 21 days and a maximum of 36 days between menses 
8. Upon pelvic examination/speculum examination and pelvic colposcopy speculum colposcopy at the time of enrollment, the cervix appear normal and vagina appear normal as determined by the investigator 
9. Asymptomatic for genital infections and vaginal infections at the time of enrollment 
10. Willing to refrain from use of vaginal products or objects within 14 days prior to enrollment and for the duration of the study 
11. Willing to answer acceptability and adherence questionnaires throughout the study 
12. Willing to refrain from participation in any other research study for the duration of this study 
13. Willing to provide adequate locator information for study retention purposes and be reachable per local standard procedures",2,"pelvic/speculum examination and colposcopy;
genital and vaginal infections"
